project_start_date,reporting_construction_type,extended_affordability_status,extremely_low_income_units,very_low_income_units,low_income_units,moderate_income_units,middle_income_units,all_counted_units,total_units,total_adults_in_shelter,total_children_in_shelter,total_individuals_in_shelter,single_adult_men_in_shelter,single_adult_women_in_shelter,total_single_adults_in_shelter,families_with_children_in_shelter,adults_in_families_with_children_in_shelter,children_in_families_with_children_in_shelter,total_individuals_in_families_with_children_in_shelter_,adult_families_in_shelter,individuals_in_adult_families_in_shelter
2014-03-16,0.5714285714285714,0.0,0.0,0.42857142857142855,4.142857142857143,9.428571428571429,0.2857142857142857,14.428571428571429,17.428571428571427,29606.428571428572,22507.285714285714,52113.71428571428,7551.714285714285,2720.285714285714,10272.0,10766.42857142857,15356.42857142857,22507.285714285714,37863.71428571428,1875.0,3978.0
2014-03-23,0.7142857142857143,0.42857142857142855,0.2857142857142857,0.14285714285714285,9.714285714285714,0.0,0.0,10.285714285714286,10.285714285714286,29716.571428571428,22540.14285714286,52256.71428571428,7600.428571428572,2733.5714285714284,10334.0,10793.857142857143,15410.42857142857,22540.14285714286,37950.57142857143,1875.857142857143,3972.1428571428573
2014-03-30,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,8.857142857142858,29817.0,22573.0,52390.0,7622.428571428572,2759.4285714285716,10381.857142857143,10823.714285714286,15468.857142857143,22573.0,38041.857142857145,1876.2857142857142,3966.285714285714
2014-04-06,0.8571428571428571,0.2857142857142857,0.0,0.0,4.428571428571429,0.5714285714285714,0.2857142857142857,5.285714285714286,5.285714285714286,29969.571428571428,23070.85714285714,53040.42857142857,7539.285714285715,2707.1428571428573,10246.42857142857,10984.857142857143,15747.857142857143,23070.85714285714,38818.71428571428,1881.2857142857142,3975.285714285714
2014-04-13,0.42857142857142855,0.0,0.2857142857142857,0.0,1.4285714285714286,0.0,0.14285714285714285,1.8571428571428572,1.8571428571428572,29857.85714285714,22636.0,52493.857142857145,7554.857142857143,2732.1428571428573,10287.0,10888.285714285714,15572.714285714286,22636.0,38208.71428571428,1892.5714285714287,3998.1428571428573
2014-04-20,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.5714285714285714,0.5714285714285714,29926.14285714286,22577.428571428572,52503.57142857143,7641.142857142857,2752.0,10393.142857142857,10880.142857142857,15546.0,22577.428571428572,38123.42857142857,1889.5714285714287,3987.0
2014-04-27,0.42857142857142855,0.0,0.0,0.0,0.5714285714285714,0.0,0.42857142857142855,1.0,1.0,29977.85714285714,22619.14285714286,52597.0,7700.428571428572,2769.8571428571427,10470.285714285714,10900.0,15570.42857142857,22619.14285714286,38189.57142857143,1870.2857142857142,3937.1428571428573
2014-05-04,0.2857142857142857,0.0,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.5714285714285714,0.5714285714285714,30021.14285714286,22679.428571428572,52700.57142857143,7647.285714285715,2762.285714285714,10409.57142857143,10958.57142857143,15657.0,22679.428571428572,38336.42857142857,1878.2857142857142,3954.5714285714284
2014-05-11,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,16.0,3.7142857142857144,0.0,20.0,20.0,30120.0,22761.428571428572,52881.42857142857,7612.714285714285,2752.285714285714,10365.0,11016.714285714286,15752.285714285714,22761.428571428572,38513.71428571428,1900.142857142857,4002.714285714286
2014-05-18,0.5714285714285714,0.0,0.0,0.0,14.0,0.0,0.42857142857142855,14.428571428571429,14.428571428571429,30298.0,22899.428571428572,53197.42857142857,7626.0,2787.714285714286,10413.714285714286,11086.285714285714,15853.57142857143,22899.428571428572,38753.0,1915.2857142857142,4030.714285714286
2014-05-25,0.2857142857142857,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.2857142857142857,0.8571428571428571,1.7142857142857142,30333.14285714286,23002.285714285714,53335.42857142857,7579.714285714285,2801.4285714285716,10381.142857142857,11143.0,15937.142857142857,23002.285714285714,38939.42857142857,1910.0,4014.8571428571427
2014-06-01,0.7142857142857143,0.14285714285714285,2.4285714285714284,4.142857142857143,2.5714285714285716,0.0,0.14285714285714285,9.428571428571429,9.428571428571429,30291.285714285714,22999.428571428572,53290.71428571428,7573.428571428572,2792.5714285714284,10366.0,11144.285714285714,15935.285714285714,22999.428571428572,38934.71428571428,1899.857142857143,3990.0
